player_name,placement,has_killacure24,has_clayschubiner,has_MarkMadness,has_socom1880,has_Rook,has_Arturias13,has_Chieffelix47,kills,kdRatio,score,timePlayed,headshots,executions,assists,percentTimeMoving,longestStreak,scorePerMinute,damageDone,distanceTraveled,deaths,damageTaken,damageDonePerMinute,medalXp,objectiveTeamWiped,objectiveLastStandKill,matchXp,scoreXp,totalXp,challengeXp,objectiveDestroyedVehicleMedium,teamSurvivalTime,objectiveBrDownEnemyCircle3,objectiveBrDownEnemyCircle1,objectiveBrMissionPickupTablet,bonusXp,objectiveReviver,objectiveBrKioskBuy,objectiveBrDownEnemyCircle6,gulagDeaths,gulagKills,objectiveBrCacheOpen,miscXp,team_size,match_id,match_timestamp,match_unix_timestamp,match_modeId,match_mapId,match_duration,match_playerCount,match_teamCount,match_mapName
MarkMadness,1,0,1,1,1,0,0,1,4.0,2.0,5400.0,1733.0,1.0,0.0,0.0,86.74776,3.0,186.9590305828044,2624.0,338302.25,2.0,366.0,90.84824004616273,30.0,1.0,4.0,13337.0,12240.0,26378.0,0.0,,1634000.0,1.0,2.0,6.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,4,7069074029700166402,2020-06-07T09:13:35+00:00,1591521215.0,br_89,mp_donetsk2,1634.0,148,38,Verdansk
Chieffelix47,1,0,1,1,1,0,0,1,8.0,8.0,7950.0,1732.0,0.0,0.0,0.0,91.8694,7.0,275.4041570438799,3880.0,341081.0,0.0,0.0,134.4110854503464,290.0,,6.0,13337.0,14890.0,30129.0,0.0,,1634000.0,2.0,2.0,6.0,0.0,,3.0,3.0,0.0,0.0,8.0,0.0,4,7069074029700166402,2020-06-07T09:13:35+00:00,1591521215.0,br_89,mp_donetsk2,1634.0,148,38,Verdansk
clayschubiner,1,0,1,1,1,0,0,1,4.0,4.0,7500.0,1733.0,0.0,0.0,0.0,96.991035,4.0,259.66532025389495,1180.0,409659.62,1.0,425.0,40.85401038661281,30.0,,5.0,13337.0,14340.0,28894.0,0.0,,1634000.0,1.0,1.0,6.0,0.0,,5.0,1.0,0.0,1.0,2.0,0.0,4,7069074029700166402,2020-06-07T09:13:35+00:00,1591521215.0,br_89,mp_donetsk2,1634.0,148,38,Verdansk
socom1880,1,0,1,1,1,0,0,1,10.0,10.0,10975.0,1734.0,2.0,0.0,0.0,95.07042,8.0,379.75778546712803,2992.0,353492.94,0.0,57.0,103.52941176470588,320.0,1.0,7.0,13337.0,17815.0,34167.0,0.0,,1634000.0,,3.0,6.0,0.0,1.0,5.0,3.0,0.0,0.0,5.0,0.0,4,7069074029700166402,2020-06-07T09:13:35+00:00,1591521215.0,br_89,mp_donetsk2,1634.0,148,38,Verdansk
MarkMadness,38,0,1,1,1,0,0,1,0.0,0.0,100.0,269.0,0.0,0.0,0.0,88.83249,0.0,22.304832713754646,62.0,244052.94,0.0,50.0,13.82899628252788,0.0,,,1165.0,700.0,1865.0,0.0,,202848.0,,,1.0,0.0,,,,0.0,0.0,,0.0,4,3457099279284778847,2020-06-07T09:07:22+00:00,1591520842.0,br_89,mp_donetsk2,1447.0,152,39,Verdansk
Chieffelix47,38,0,1,1,1,0,0,1,1.0,1.0,925.0,269.0,0.0,0.0,0.0,98.984764,1.0,206.31970260223048,272.0,250879.77,0.0,0.0,60.669144981412636,75.0,,1.0,1164.0,1925.0,3164.0,0.0,,202848.0,,1.0,1.0,0.0,,,,0.0,0.0,5.0,0.0,4,3457099279284778847,2020-06-07T09:07:22+00:00,1591520842.0,br_89,mp_donetsk2,1447.0,152,39,Verdansk
clayschubiner,38,0,1,1,1,0,0,1,0.0,0.0,100.0,269.0,0.0,0.0,0.0,96.4467,0.0,22.304832713754646,2.0,249238.39,1.0,237.0,0.44609665427509293,0.0,,,1165.0,600.0,1765.0,0.0,,202848.0,,,1.0,0.0,,,,0.0,0.0,,0.0,4,3457099279284778847,2020-06-07T09:07:22+00:00,1591520842.0,br_89,mp_donetsk2,1447.0,152,39,Verdansk
socom1880,38,0,1,1,1,0,0,1,0.0,0.0,0.0,171.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,235509.92,0.0,0.0,0.0,10.0,,,783.0,200.0,993.0,0.0,,202848.0,,,,0.0,,,,0.0,0.0,,0.0,4,3457099279284778847,2020-06-07T09:07:22+00:00,1591520842.0,br_89,mp_donetsk2,1447.0,152,39,Verdansk
MarkMadness,14,0,1,1,1,0,0,1,0.0,0.0,2300.0,1031.0,0.0,0.0,0.0,64.143005,0.0,133.85063045586807,385.0,319534.88,2.0,400.0,22.405431619786615,0.0,,,8751.0,6750.0,15501.0,0.0,,936528.0,,1.0,5.0,0.0,1.0,2.0,,1.0,0.0,4.0,0.0,4,15778992737200266673,2020-06-07T08:48:35+00:00,1591519715.0,br_89,mp_donetsk2,1642.0,148,40,Verdansk
Chieffelix47,14,0,1,1,1,0,0,1,3.0,1.5,6500.0,1029.0,0.0,0.0,0.0,96.214516,2.0,379.00874635568516,950.0,501572.06,2.0,367.0,55.39358600583091,10.0,,2.0,8751.0,10950.0,19873.0,0.0,,936528.0,,2.0,5.0,0.0,,3.0,,0.0,1.0,12.0,0.0,4,15778992737200266673,2020-06-07T08:48:35+00:00,1591519715.0,br_89,mp_donetsk2,1642.0,148,40,Verdansk
