player_name,placement,has_killacure24,has_Chieffelix47,has_Rook,has_MarkMadness,has_socom1880,has_Arturias13,has_clayschubiner,kills,kdRatio,score,timePlayed,headshots,executions,assists,percentTimeMoving,longestStreak,scorePerMinute,damageDone,distanceTraveled,deaths,damageTaken,damageDonePerMinute,medalXp,objectiveTeamWiped,objectiveLastStandKill,matchXp,scoreXp,totalXp,challengeXp,objectiveDestroyedVehicleMedium,teamSurvivalTime,objectiveBrDownEnemyCircle3,objectiveBrDownEnemyCircle1,objectiveBrMissionPickupTablet,bonusXp,objectiveReviver,objectiveBrKioskBuy,objectiveBrDownEnemyCircle6,gulagDeaths,gulagKills,objectiveBrCacheOpen,miscXp,match_id,match_modeId,match_mapId,match_duration,match_playerCount,match_teamCount,match_mapName
clayschubiner,4,False,False,False,False,True,False,True,0.0,0.0,3400.0,1569.0,0.0,0.0,0.0,85.20027,0.0,130.019120458891,283.0,599649.1,3.0,829.0,10.822179732313575,0.0,,,12676.0,5650.0,18326.0,0.0,,1454400.0,,,5.0,0.0,,2.0,,2.0,0.0,4.0,0.0,784018968162183159,br_88,mp_donetsk2,1529.0,149,76,Verdansk
socom1880,4,False,False,False,False,True,False,True,5.0,5.0,6800.0,1569.0,2.0,0.0,0.0,93.34691,6.0,260.038240917782,2236.0,602615.06,1.0,513.0,85.50669216061186,,,,,,,,,,,,,,,,,,,,,784018968162183159,br_88,mp_donetsk2,1529.0,149,76,Verdansk
MarkMadness,9,False,False,False,True,True,False,True,2.0,1.0,2475.0,1376.0,0.0,0.0,0.0,99.17043,2.0,107.92151162790698,814.0,501496.75,2.0,503.0,35.49418604651163,,,,,,,,,,,,,,,,,,,,,14483814841302969214,br_25,mp_donetsk2,1676.0,148,52,Verdansk
clayschubiner,9,False,False,False,True,True,False,True,1.0,1.0,6625.0,1379.0,0.0,0.0,0.0,96.90799,1.0,288.25235678027553,533.0,478511.28,1.0,531.0,23.190717911530093,0.0,1.0,1.0,11272.0,13515.0,25081.0,0.0,,1329792.0,1.0,,5.0,0.0,,5.0,,0.0,0.0,5.0,0.0,14483814841302969214,br_25,mp_donetsk2,1676.0,148,52,Verdansk
socom1880,9,False,False,False,True,True,False,True,6.0,3.0,4300.0,1379.0,1.0,0.0,0.0,88.612366,3.0,187.09209572153736,2454.0,581084.6,2.0,708.0,106.77302393038433,,,,,,,,,,,,,,,,,,,,,14483814841302969214,br_25,mp_donetsk2,1676.0,148,52,Verdansk
MarkMadness,2,False,False,False,True,True,False,True,2.0,2.0,7325.0,1765.0,0.0,0.0,0.0,93.08672,1.0,249.00849858356938,1198.0,453014.97,1.0,493.0,40.725212464589234,,,,,,,,,,,,,,,,,,,,,8986566823157720677,br_25,mp_donetsk2,1712.0,152,51,Verdansk
clayschubiner,2,False,False,False,True,True,False,True,3.0,3.0,4825.0,1815.0,0.0,0.0,0.0,85.809586,4.0,159.50413223140495,854.0,456654.94,1.0,572.0,28.231404958677686,40.0,3.0,1.0,13747.0,10115.0,25132.0,0.0,1.0,1666848.0,1.0,1.0,5.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,8986566823157720677,br_25,mp_donetsk2,1712.0,152,51,Verdansk
socom1880,2,False,False,False,True,True,False,True,3.0,3.0,3925.0,1814.0,0.0,0.0,0.0,95.20922,1.0,129.82359426681367,2455.0,545282.94,1.0,504.0,81.20176405733186,,,,,,,,,,,,,,,,,,,,,8986566823157720677,br_25,mp_donetsk2,1712.0,152,51,Verdansk
Chieffelix47,2,False,True,True,False,True,False,True,9.0,9.0,8600.0,1667.0,1.0,0.0,0.0,99.54308,7.0,309.5380923815237,3075.0,522282.22,1.0,284.0,110.67786442711457,,,,,,,,,,,,,,,,,,,,,6236232565544212485,br_89,mp_donetsk2,1603.0,151,42,Verdansk
clayschubiner,2,False,True,True,False,True,False,True,0.0,0.0,2800.0,1668.0,0.0,0.0,0.0,70.169716,0.0,100.71942446043165,727.0,495171.12,4.0,789.0,26.151079136690647,0.0,,,13408.0,9580.0,22988.0,0.0,,1549104.0,,,6.0,0.0,,2.0,,3.0,0.0,2.0,0.0,6236232565544212485,br_89,mp_donetsk2,1603.0,151,42,Verdansk
Rook,2,False,True,True,False,True,False,True,4.0,4.0,8850.0,1668.0,2.0,0.0,0.0,96.93212,5.0,318.34532374100723,2048.0,506733.03,1.0,462.0,73.66906474820144,,,,,,,,,,,,,,,,,,,,,6236232565544212485,br_89,mp_donetsk2,1603.0,151,42,Verdansk
